事故ID,條文ID
A001,L003
A001,L004
A001,L005
A001,L001
A002,L007
A002,L008
A002,L001
A002,L004
A002,L005
A002,L006
A003,L008
A003,L004
A003,L001
A004,L008
A004,L009
A004,L010
A004,L004
A004,L005
A005,L010
A005,L004
A005,L005
A005,L006
A005,L001
A001,L011
A002,L011
A003,L011
A004,L011
A005,L011
A001,L012
A002,L012
A003,L012
A004,L012
A005,L012
A002,L013
A005,L013
A002,L016
A005,L016
A001,L017
A002,L017
A003,L017
A004,L017
A002,L018
A004,L018
A005,L018
A002,L019
A005,L019
A001,L020
A002,L020
A003,L020
A004,L020
A005,L020
A001,L024
A002,L024
A003,L024
A004,L024
A005,L024
A001,L025
A002,L025
A003,L025
A004,L025
A005,L025
A001,L026
A001,L027
A002,L027
A003,L027
A004,L027
A005,L027
A005,L028
A006,L023
A006,L024
A006,L025
A001,L014
A001,L030
A002,L014
A002,L030
A003,L014
A003,L030
A004,L014
A004,L030
A005,L014
A005,L030
A006,L014
A006,L030
