流程ID,觸發情境,步驟順序,任務ID,任務名稱,主要角色,協作角色,輸入資料,輸出紀錄,期限建議,升級條件
FLOW_OVERTIME,S001 系統上線長工時,1,T001,啟動職災與健康風險初判,HR,MANAGER,診斷證明;員工陳述,初判紀錄,收到通報後1個工作日內,員工住院或疑似重大健康事件
FLOW_OVERTIME,S001 系統上線長工時,2,T002,蒐集工時與值班證據,HR,PM,出勤紀錄;加班申請;on-call表;ticket,證據清單,3個工作日內,資料缺漏或工時異常
FLOW_OVERTIME,S001 系統上線長工時,3,T003,評估異常工作負荷,EHS,HR;PM,工時統計;incident紀錄;健康資料,工作負荷評估摘要,5個工作日內,連續長工時或夜間維運密集
FLOW_OVERTIME,S001 系統上線長工時,4,T005,評估職災給付與雇主補償,HR,LEGAL,診斷證明;法規節點;給付節點,補償與給付建議,5個工作日內,員工申請職災或發生死亡失能
FLOW_ONSITE,S004 駐點客戶機房搬運受傷,1,T001,啟動職災初判,HR,PM,派工單;診斷證明;事故陳述,職災初判紀錄,1個工作日內,事故發生於客戶場域
FLOW_ONSITE,S004 駐點客戶機房搬運受傷,2,T006,檢查客戶現場責任邊界,LEGAL,PM;CLIENT,合約;門禁;機房作業申請,責任邊界摘要,3個工作日內,客戶現場設備或管理因素涉入
FLOW_ONSITE,S004 駐點客戶機房搬運受傷,3,T004,通知HR/法務/PM/職安,PM,HR;LEGAL;EHS,事故初報;派工資料,內部通報紀錄,事故當日,可能重大職災或客戶要求正式說明
FLOW_IDC,S007 IDC機房維運事故,1,T004,通知HR/法務/PM/職安,EHS,HR;PM;LEGAL,事故紀錄;現場照片,通報與分工紀錄,事故當日,觸電;重傷;多人受傷
FLOW_IDC,S007 IDC機房維運事故,2,T012,盤點同業裁罰與制度缺口,EHS,HR;LEGAL,事故原因;SOP;教育訓練紀錄,改善清單,10個工作日內,事故反映制度缺口
FLOW_COMMUTE,S005 客戶拜訪或公出途中事故,1,T001,啟動職災初判,HR,PM,派工單;會議紀錄;診斷證明,通勤或公出事故初判,1個工作日內,員工主張因公外出
FLOW_COMMUTE,S005 客戶拜訪或公出途中事故,2,T005,評估職災給付與雇主補償,HR,LEGAL,交通紀錄;事故紀錄;法規節點,給付補償建議,5個工作日內,傷勢需請假或有失能可能
FLOW_HARASS,S006 客戶或主管職場不法侵害,1,T007,啟動不法侵害申訴處理,HR,MANAGER,申訴紀錄;員工陳述,申訴受理紀錄,收到申訴當日,涉及性騷擾或人身安全風險
FLOW_HARASS,S006 客戶或主管職場不法侵害,2,T008,成立調查或處理小組,HR,LEGAL,申訴紀錄;關係人清單,調查計畫,3個工作日內,行為人為主管或客戶窗口
FLOW_HARASS,S006 客戶或主管職場不法侵害,3,T009,採取保護與工作調整,MANAGER,HR;PM,申訴內容;駐點安排;健康狀態,保護措施紀錄,立即處理,員工持續暴露於相同風險
FLOW_HARASS,S006 客戶或主管職場不法侵害,4,T010,提供諮商/醫療/外部資源,HR,MANAGER,員工需求;醫療或諮商紀錄,支持資源紀錄,3個工作日內,員工身心狀態受影響
FLOW_HARASS,S006 客戶或主管職場不法侵害,5,T011,完成改善與教育訓練,HR,EHS;PM;CLIENT,調查結果;制度缺口,改善與教育訓練紀錄,30日內,重複事件或客戶現場制度缺口
