情境ID,條文ID
S001,L001
S001,L004
S001,L005
S001,L006
S001,L010
S001,L024
S001,L025
S001,L027
S001,L028
S001,L031
S001,L033
S001,L034
S001,L035
S002,L004
S002,L005
S002,L010
S002,L024
S002,L025
S002,L031
S002,L033
S002,L034
S002,L035
S003,L004
S003,L005
S003,L010
S003,L024
S003,L025
S003,L031
S003,L033
S003,L034
S004,L001
S004,L002
S004,L004
S004,L005
S004,L008
S004,L011
S004,L012
S004,L024
S004,L025
S005,L001
S005,L003
S005,L004
S005,L005
S005,L024
S005,L025
S006,L008
S006,L021
S006,L022
S006,L024
S006,L025
S006,L032
S007,L001
S007,L004
S007,L005
S007,L008
S007,L009
S007,L011
S007,L012
S007,L024
S007,L025
S008,L023
S008,L024
S008,L025
